---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
1911,200,800,13,25,50,100,50,0,0.8,2750,4000
57,500,300,10,25,100,100,75,0,0.85,3000,4000
sock,650,600,10,30,50,50,50,0,0.85,1750,3000
m9,250,400,10,30,50,50,50,0,0.85,2000,3000
de,800,600,20,35,100,100,100,0,0.85,3000,4500
revolver,800,600,25,35,100,100,100,0,0.68,1500,4500
cet9,650,500,13,25,50,80,50,0,0.8,2750,4000
smg,1200,800,13,25,50,100,50,0,0.8,2750,4000
uzi,950,600,10,20,50,50,25,0,0.85,1750,3000
ak,1400,600,10,35,60,100,50,0,0.85,2500,4000
mp5,1600,400,10,30,50,25,25,0,0.85,2000,3500
p90,1900,300,10,20,50,25,75,0,0.8,2000,3500
vanas,2300,200,10,45,60,50,75,0,0.75,1500,4500
kross,1750,100,9,20,50,25,25,0,0.8,2000,3500
ar9,1600,400,13,25,50,100,50,0,0.8,2500,4000
shotgun,1500,600,8,15,50,25,0,0,0.67,1250,2500
sawedoff,1000,600,20,25,50,50,10,0,0.33,750,1500
drumshotgun,4200,100,8,15,50,25,10,0,0.67,1000,2100
autoshotgun,1800,100,8,15,50,25,10,0,0.67,1000,2000
ak47,2500,300,13,60,100,100,100,0,1,1000,5000
ak12,2600,300,13,45,100,100,74,0,1,1000,5000
ar,2700,300,10,45,100,100,75,0,1,1000,5000
aug,2300,300,10,45,100,100,75,0,1,1000,5000
galul,2300,300,10,45,100,100,75,0,1,1000,5000
m16,2300,300,10,45,100,100,75,0,1,1000,5000
sks,2500,100,18,60,100,100,100,0,1,1000,5000
akshorty,1800,400,13,25,50,100,50,0,1,1000,5000
vzz,2200,400,10,30,50,25,25,0,1,1000,5000
lmga,3000,100,10,60,100,100,75,0,1,1000,5000
awp,2200,0,50,50,65,100,100,0,1,1000,5000
autosniper,3500,100,18,60,100,100,100,0,1,1000,5000
antitank,4800,0,100,100,100,100,100,0,1,1000,5000
scur,3500,100,18,60,100,100,100,0,1,1000,5000
luger,600,400,13,30,50,50,75,0,1,1000,5000
tokarev,300,800,10,25,50,100,50,0,1,1000,5000
webley,800,600,23,35,100,100,100,0,1,1000,5000
sten,1400,400,10,30,50,25,25,0,1,1000,5000
mp40,1700,400,10,30,50,25,25,0,1,1000,5000
thompson,1600,400,10,30,50,25,25,0,1,1000,5000
stg44,2700,300,10,40,100,100,75,0,1,1000,5000
ppsh,1750,100,9,20,50,25,25,0,0.8,2000,3500
m1garand,2400,400,18,60,100,100,100,0,1,1000,5000
g43,3500,100,18,60,100,100,100,0,1,1000,5000
svt40,3500,400,18,60,100,100,100,0,1,1000,5000
mosin,1600,800,40,60,100,100,100,0,1,1000,5000
springfield,1600,800,40,60,100,100,100,0,1,1000,5000
kar98,1600,800,40,60,100,100,100,0,1,1000,5000
leeenfield,1600,800,40,60,100,100,100,0,1,1000,5000
bar,3000,100,10,60,100,100,75,0,1,1000,5000
bren,3000,100,10,60,100,100,75,0,1,1000,5000
dp27,3200,100,10,60,100,100,75,0,1,1000,5000
mg42,3500,100,10,60,100,100,75,0,1,1000,5000
rl_m1a1,4300,150,50,100,100,100,100,0,1,1000,5000
rl_piat,4000,150,50,100,100,100,100,0,1,1000,5000
rl_panzer,4500,150,50,100,100,100,100,0,1,1000,5000
rl_rpg,4200,150,50,100,100,100,100,0,1,1000,5000
smoke,300,0,0,0,0,0,0,0,1,1000,5000
smoke_ru,300,0,0,0,0,0,0,0,1,1000,5000
flash,200,1200,0,0,0,0,0,0,1,1000,5000
flash_ru,200,1200,0,0,0,0,0,0,1,1000,5000
grenade_us,600,0,0,80,90,0,0,0,1,1000,5000
smoke_us,300,0,0,0,0,0,0,0,1,1000,5000
grenade_ger,600,0,0,80,90,0,100,0,1,1000,5000
smoke_ger,300,0,0,0,0,0,0,0,1,1000,5000
grenade_svt,600,0,0,80,90,0,0,0,1,1000,5000
smoke_svt,300,0,0,0,0,0,0,0,1,1000,5000
grenade,600,0,0,80,90,0,0,0,1,1000,5000
grenade_ru,600,0,0,80,90,0,0,0,1,1000,5000
